t [s],v [É m/sec]
69.35,-24.953
69.36,-25.459
69.37,-24.727
69.38,-22.847
69.39,-20.284
69.4,-17.469
69.41,-13.636
69.42,-9.017
69.43,-3.744
69.44,1.311
69.45,6.057
69.46,10.896
69.47,15.392
69.48,19.64
69.49,22.958
69.5,25.192
69.51,26.926
69.52,27.623
69.53,27.505
69.54,26.249
69.55,24.151
69.56,20.959
69.57,17.254
69.58,13.63
69.59,9.793
69.6,6.27
69.61,2.93
69.62,-0.554
69.63,-4.663
69.64,-8.418
69.65,-11.292
69.66,-13.709
69.67,-15.698
69.68,-17.326
69.69,-18.541
69.7,-19.473
69.71,-20.362
69.72,-20.183
69.73,-19.287
69.74,-18.212
69.75,-17.634
69.76,-17.014
69.77,-15.859
69.78,-13.718
69.79,-10.636
69.8,-7.371
69.81,-4.386
69.82,-1.168
69.83,2.08
69.84,6.017
69.85,10.811
69.86,15.774
69.87,20.329
69.88,23.989
69.89,27.094
69.9,29.555
69.91,30.872
69.92,31.36
69.93,30.819
69.94,29.383
69.95,26.328
69.96,22.007
69.97,16.805
69.98,10.606
69.99,4.173
70,-2.406
70.01,-8.935
70.02,-15.115
70.03,-20.895
70.04,-26.35
70.05,-31.324
70.06,-35.28
70.07,-37.394
70.08,-38.515
70.09,-38.26
70.1,-36.666
70.11,-32.928
70.12,-27.539
70.13,-21.047
70.14,-13.638
70.15,-5.874
70.16,2.085
70.17,9.985
70.18,17.851
70.19,25.331
70.2,32.045
70.21,37.465
70.22,41.246
70.23,43.591
70.24,44.684
70.25,44.002
70.26,41.538
70.27,37.626
70.28,32.179
70.29,25.063
70.3,16.844
70.31,8.045
70.32,-0.654
70.33,-9.543
70.34,-17.739
70.35,-25.24
70.36,-31.5
70.37,-36.356
70.38,-39.389
70.39,-41.109
70.4,-41.224
70.41,-39.25
70.42,-35.519
70.43,-30.671
70.44,-24.878
70.45,-18.207
70.46,-11.282
70.47,-4.313
70.48,3.078
70.49,10.212
70.5,16.461
70.51,21.899
70.52,26.122
70.53,29.743
70.54,31.638
70.55,32.598
70.56,31.981
70.57,29.803
70.58,26.634
70.59,22.139
70.6,16.664
70.61,11.396
70.62,6.131
70.63,0.977
70.64,-4.164
70.65,-8.974
70.66,-13.47
70.67,-17.212
70.68,-19.475
70.69,-20.722
70.7,-20.689
70.71,-19.949
70.72,-18.53
70.73,-17.072
70.74,-15.092
70.75,-12.516
70.76,-9.377
70.77,-6.237
70.78,-3.411
70.79,-0.552
70.8,2.296
70.81,4.886
70.82,7.716
70.83,10.818
70.84,13.767
70.85,16.188
70.86,18.325
70.87,19.555
70.88,20.025
70.89,20.841
70.9,21.577
70.91,21.934
70.92,21.567
70.93,21.273
70.94,20.56
70.95,19.402
70.96,17.266
70.97,13.876
70.98,9.998
70.99,5.199
71,-0.17
71.01,-5.559
71.02,-11.025
71.03,-16.262
71.04,-21.058
71.05,-25.445
71.06,-28.574
71.07,-30.714
71.08,-32.153
71.09,-32.177
71.1,-30.99
71.11,-28.439
71.12,-24.491
71.13,-19.595
71.14,-13.029
71.15,-6.313
71.16,0.699
71.17,8.332
71.18,16.092
71.19,23.631
71.2,30.737
71.21,37.421
71.22,43.168
71.23,47.472
71.24,49.518
71.25,49.263
71.26,47.454
71.27,43.342
71.28,38.057
71.29,30.995
71.3,22.791
71.31,13.91
71.32,3.888
71.33,-6.363
71.34,-16.076
71.35,-25.253
71.36,-33.65
71.37,-40.503
71.38,-45.786
71.39,-49.846
71.4,-52.361
71.41,-52.873
71.42,-51.091
71.43,-46.92
71.44,-40.957
71.45,-33.119
71.46,-24.237
71.47,-14.512
71.48,-3.865
71.49,6.429
71.5,16.569
71.51,26.443
71.52,34.567
71.53,40.911
71.54,45.186
71.55,48.157
71.56,49.425
71.57,48.581
71.58,45.712
71.59,41.251
71.6,35.064
71.61,27.781
71.62,19.496
71.63,10.794
71.64,1.659
71.65,-7.779
71.66,-16.61
71.67,-24.462
71.68,-30.928
71.69,-36.272
71.7,-40.389
71.71,-42.958
71.72,-44.265
71.73,-43.782
71.74,-40.945
71.75,-36.147
71.76,-31.114
71.77,-25.577
71.78,-19.278
71.79,-12.858
71.8,-6.328
71.81,0.445
71.82,6.535
71.83,11.79
71.84,16.048
71.85,19.221
71.86,21.103
71.87,22.015
71.88,21.466
71.89,19.58
71.9,16.226
71.91,12.137
71.92,7.925
71.93,4.475
71.94,1.618
71.95,-1.062
71.96,-4.065
71.97,-6.433
71.98,-8
71.99,-8.546
72,-8.387
72.01,-7.604
72.02,-6.741
72.03,-5.344
72.04,-3.243
72.05,-0.666
72.06,2.639
72.07,5.646
72.08,8.247
72.09,9.991
72.1,9.993
72.11,9.561
72.12,9.503
72.13,8.651
72.14,6.646
72.15,3.93
72.16,0.773
72.17,-2.399
72.18,-5.532
72.19,-8.091
72.2,-10.82
72.21,-13.325
72.22,-15.536
72.23,-17.195
72.24,-18.72
72.25,-19.946
72.26,-20.604
72.27,-20.376
72.28,-19.796
72.29,-18.412
72.3,-16.075
72.31,-12.682
72.32,-8.245
72.33,-3.368
72.34,1.006
72.35,4.655
72.36,7.955
72.37,10.561
72.38,12.394
72.39,14.051
72.4,14.99
72.41,15.433
72.42,15.201
72.43,14.881
72.44,14.025
72.45,12.725
72.46,10.724
72.47,8.337
72.48,5.34
72.49,1.942
72.5,-1.783
72.51,-5.593
72.52,-9.155
72.53,-12.415
72.54,-15.078
72.55,-16.694
72.56,-17.327
72.57,-17.269
72.58,-16.394
72.59,-14.175
72.6,-11.083
72.61,-7.953
72.62,-4.981
72.63,-1.469
72.64,2.136
72.65,5.63
72.66,8.74
72.67,10.699
72.68,11.782
72.69,12.282
72.7,11.718
72.71,10.64
72.72,9.009
72.73,6.411
72.74,3.467
72.75,0.974
72.76,-1.43
72.77,-4.171
72.78,-7.328
72.79,-11.082
72.8,-14.287
72.81,-16.584
72.82,-17.633
72.83,-17.461
72.84,-16.951
72.85,-16.133
72.86,-15.227
72.87,-13.534
72.88,-11.529
72.89,-9.293
72.9,-6.441
72.91,-2.893
72.92,0.182
72.93,2.699
72.94,5.448
72.95,8.436
72.96,11.766
72.97,14.386
72.98,16.395
72.99,17.898
73,18.219
73.01,17.239
73.02,15.92
73.03,14.261
73.04,12.161
73.05,9.449
73.06,6.469
73.07,3.215
73.08,-0.267
73.09,-3.903
73.1,-6.973
73.11,-9.908
73.12,-12.699
73.13,-14.876
73.14,-16.566
73.15,-17.983
73.16,-18.866
73.17,-19.589
73.18,-19.621
73.19,-18.476
73.2,-15.843
73.21,-12.326
73.22,-8.535
73.23,-5.208
73.24,-2.051
73.25,0.023
73.26,1.878
73.27,3.583
73.28,5.441
73.29,6.721
73.3,7.884
73.31,9.405
73.32,10.978
73.33,13.129
73.34,15.468
73.35,16.854
73.36,17.416
73.37,16.952
73.38,15.257
73.39,12.902
73.4,10.038
73.41,7.144
73.42,4.486
73.43,2.311
73.44,-0.169
73.45,-2.059
73.46,-4.101
73.47,-6.225
73.48,-8.526
73.49,-10.632
73.5,-11.989
73.51,-12.835
73.52,-13.707
73.53,-13.867
73.54,-14.336
73.55,-14.001
73.56,-12.661
73.57,-10.592
73.58,-8.46
73.59,-5.883
73.6,-2.688
73.61,0.687
73.62,3.922
73.63,6.813
73.64,9.433
73.65,11.688
73.66,13.354
73.67,14.578
73.68,15.69
73.69,16.932
73.7,17.659
73.71,17.864
73.72,17.702
73.73,16.814
73.74,15.272
73.75,13.74
73.76,11.263
73.77,8.635
73.78,6.038
73.79,2.859
73.8,-0.569
73.81,-4.092
73.82,-7.527
73.83,-10.443
73.84,-12.686
73.85,-14.849
73.86,-17.129
73.87,-19.122
73.88,-20.276
73.89,-20.518
73.9,-20.24
73.91,-18.824
73.92,-16.874
73.93,-14.363
73.94,-11.313
73.95,-7.762
73.96,-4.312
73.97,-0.525
73.98,4.169
73.99,8.531
74,12.828
74.01,16.857
74.02,20.458
74.03,23.569
74.04,25.118
74.05,26.327
74.06,27.126
74.07,27.203
74.08,26.334
74.09,23.779
74.1,20.169
74.11,16.446
74.12,11.849
74.13,6.886
74.14,1.986
74.15,-2.657
74.16,-7.656
74.17,-12.257
74.18,-16.027
74.19,-19.434
74.2,-21.776
74.21,-22.874
74.22,-23.525
74.23,-23.622
74.24,-22.898
74.25,-21.268
74.26,-18.704
74.27,-15.38
74.28,-11.949
74.29,-7.714
74.3,-2.442
74.31,3.505
74.32,9.666
74.33,15.129
74.34,19.613
74.35,23.562
74.36,26.854
74.37,28.873
74.38,29.647
74.39,28.93
74.4,27.249
74.41,24.397
74.42,20.692
74.43,16.08
74.44,11.687
74.45,6.996
74.46,1.823
74.47,-3.74
74.48,-9.287
74.49,-13.787
74.5,-17.138
74.51,-19.496
74.52,-21.266
74.53,-22.682
74.54,-23.187
74.55,-22.604
74.56,-20.605
74.57,-17.489
74.58,-13.893
74.59,-9.9
74.6,-5.427
74.61,-1.268
74.62,3.041
74.63,7.186
74.64,10.918
74.65,14.03
74.66,16.314
74.67,17.825
74.68,18.21
74.69,17.869
74.7,16.942
74.71,15.838
74.72,14.063
74.73,11.629
74.74,8.476
74.75,5.201
74.76,2.31
74.77,-0.493
74.78,-3.038
74.79,-5.275
74.8,-6.738
74.81,-8.05
74.82,-8.876
74.83,-8.639
74.84,-8.141
74.85,-7.851
74.86,-7.241
74.87,-6.302
74.88,-5.687
74.89,-5.292
74.9,-4.745
74.91,-4.015
74.92,-3.193
74.93,-3.029
74.94,-3.288
74.95,-4.027
74.96,-4.807
74.97,-5.324
74.98,-5.52
74.99,-6.202
75,-6.421
75.01,-6.618
75.02,-5.806
75.03,-4.33
75.04,-1.839
75.05,1.593
75.06,5.386
75.07,9.19
75.08,13.02
75.09,16.491
75.1,19.591
75.11,22.058
75.12,24.022
75.13,25.104
75.14,25.308
75.15,24.883
75.16,23.737
75.17,21.179
75.18,17.507
75.19,12.736
75.2,7.004
75.21,0.353
75.22,-6.733
75.23,-13.36
75.24,-19.484
75.25,-24.824
75.26,-28.935
75.27,-32.542
75.28,-35.101
75.29,-35.726
75.3,-34.994
75.31,-32.692
75.32,-28.997
75.33,-24.171
75.34,-18.904
75.35,-13.352
75.36,-7.533
75.37,-1.84
75.38,3.564
75.39,9.141
75.4,14.514
75.41,20.158
75.42,25.453
75.43,29.486
75.44,32.591
75.45,34.323
75.46,34.404
75.47,32.74
75.48,29.874
75.49,25.663
75.5,20.704
75.51,15.055
75.52,8.866
75.53,2.499
75.54,-4.259
75.55,-11.005
75.56,-17.251
75.57,-22.423
75.58,-27.019
75.59,-30.885
75.6,-33.628
75.61,-35.147
75.62,-35.667
75.63,-34.209
75.64,-31.892
75.65,-28.207
75.66,-23.705
75.67,-18.07
75.68,-11.639
75.69,-4.795
75.7,2.238
75.71,9.286
75.72,15.701
75.73,21.053
75.74,25.082
75.75,28.177
75.76,30.048
75.77,30.514
75.78,29.729
75.79,27.967
75.8,24.818
75.81,20.943
75.82,16.521
75.83,11.79
75.84,6.801
75.85,1.358
75.86,-4.663
75.87,-10.504
75.88,-16.344
75.89,-21.886
75.9,-26.117
75.91,-29.257
75.92,-32.183
75.93,-33.944
75.94,-34.404
75.95,-33.735
75.96,-31.59
75.97,-28.452
75.98,-24.612
75.99,-19.955
76,-13.834
76.01,-6.925
76.02,0.602
76.03,8.499
76.04,15.997
76.05,22.499
76.06,27.659
76.07,31.82
76.08,34.571
76.09,36.248
76.1,36.761
76.11,35.738
76.12,33.037
76.13,29.073
76.14,23.939
76.15,18
76.16,11.478
76.17,4.154
76.18,-3.747
76.19,-12.02
76.2,-19.529
76.21,-25.957
76.22,-31.154
76.23,-35.267
76.24,-38.029
76.25,-39.231
76.26,-38.563
76.27,-36.749
76.28,-33.568
76.29,-29.149
76.3,-23.966
76.31,-18.059
76.32,-11.161
76.33,-4.093
76.34,3.303
76.35,10.508
76.36,17.208
76.37,23.546
76.38,28.471
76.39,31.8
76.4,33.893
76.41,34.845
76.42,34.692
76.43,33.123
76.44,30.778
76.45,26.809
76.46,21.977
76.47,16.843
76.48,10.65
76.49,3.46
76.5,-4.491
76.51,-13.025
76.52,-20.79
76.53,-27.542
76.54,-32.455
76.55,-35.896
76.56,-37.177
76.57,-37.485
76.58,-36.233
76.59,-33.777
76.6,-29.944
76.61,-24.808
76.62,-18.782
76.63,-11.896
76.64,-5.368
76.65,1.89
76.66,9.035
76.67,16.287
76.68,23.181
76.69,29.149
76.7,33.59
76.71,36.741
76.72,38.014
76.73,37.916
76.74,35.924
76.75,31.547
76.76,25.364
76.77,18.031
76.78,10.019
76.79,1.926
76.8,-5.434
76.81,-11.596
76.82,-16.743
76.83,-20.775
76.84,-24.066
76.85,-26.397
76.86,-27.193
76.87,-26.59
76.88,-25
76.89,-21.966
76.9,-17.867
76.91,-13.086
76.92,-7.729
76.93,-1.284
76.94,5.784
76.95,12.635
76.96,18.284
76.97,22.858
76.98,26.101
76.99,27.851
77,28.161
77.01,27.197
77.02,25.196
77.03,22.603
77.04,19.329
77.05,15.362
77.06,11.194
77.07,6.626
77.08,2.004
77.09,-2.724
77.1,-7.11
77.11,-10.574
77.12,-13.525
77.13,-15.166
77.14,-15.691
77.15,-15.909
77.16,-16.336
77.17,-15.749
77.18,-13.778
77.19,-11.867
77.2,-9.428
77.21,-6.453
77.22,-3.225
77.23,0.354
77.24,3.595
77.25,6.72
77.26,9.896
77.27,13.006
77.28,15.84
77.29,17.488
77.3,17.857
77.31,17.039
77.32,15.912
77.33,15.072
77.34,13.465
77.35,11.019
77.36,8.098
77.37,5.228
77.38,2.618
77.39,0.027
77.4,-2.135
77.41,-4.022
77.42,-6.071
77.43,-7.266
77.44,-7.47
77.45,-7.354
77.46,-7.109
77.47,-6.11
77.48,-5.398
77.49,-4.668
77.5,-3.331
77.51,-1.786
77.52,-0.301
77.53,0.409
77.54,0.743
77.55,0.471
77.56,-0.549
77.57,-1.285
77.58,-1.646
77.59,-2.448
77.6,-3.344
77.61,-4.54
77.62,-5.312
77.63,-5.716
77.64,-5.427
77.65,-4.617
77.66,-3.453
77.67,-1.781
77.68,-0.022
77.69,1.65
77.7,2.616
77.71,4.201
77.72,5.469
77.73,6.774
77.74,8.182
77.75,9.655
77.76,10.499
77.77,11.021
77.78,11.08
77.79,10.912
77.8,9.801
77.81,8.003
77.82,6.057
77.83,3.373
77.84,0.345
77.85,-2.993
77.86,-6.218
77.87,-9.135
77.88,-11.889
77.89,-14.655
77.9,-16.477
77.91,-17.058
77.92,-16.725
77.93,-15.81
77.94,-14.815
77.95,-13.497
77.96,-12.228
77.97,-10.318
77.98,-8.346
77.99,-6.001
78,-3.654
78.01,-1.729
78.02,0.154
78.03,2.127
78.04,4.21
78.05,5.709
78.06,7.12
78.07,8.415
78.08,9.427
78.09,9.952
78.1,10.002
78.11,9.789
78.12,9.836
78.13,9.462
78.14,8.873
78.15,7.963
78.16,7.171
78.17,6.783
78.18,6.356
78.19,4.939
78.2,3.106
78.21,1.131
78.22,-1.709
78.23,-4.93
78.24,-8.123
78.25,-11.173
78.26,-13.537
78.27,-15.585
78.28,-16.797
78.29,-17.123
78.3,-16.901
78.31,-15.795
78.32,-13.791
78.33,-11.839
78.34,-9.736
78.35,-7.329
78.36,-4.539
78.37,-1.776
78.38,1.149
78.39,3.664
78.4,5.703
78.41,7.848
78.42,10.312
78.43,12.963
78.44,15.677
78.45,18.246
78.46,20.598
78.47,22.622
78.48,23.752
78.49,24.053
78.5,23.896
78.51,23.675
78.52,21.681
78.53,18.704
78.54,15.822
78.55,12.438
78.56,8.927
78.57,4.767
78.58,0.44
78.59,-4.711
78.6,-10.21
78.61,-15.55
78.62,-20.83
78.63,-25.84
78.64,-29.97
78.65,-32.681
78.66,-35.086
78.67,-36.625
78.68,-36.08
78.69,-34.071
78.7,-30.979
78.71,-26.819
78.72,-21.774
78.73,-15.849
78.74,-8.563
78.75,-1.135
78.76,5.977
78.77,12.993
78.78,19.392
78.79,25.328
78.8,30.92
78.81,35.093
78.82,37.983
78.83,39.832
78.84,40.037
78.85,38.713
78.86,36.046
78.87,32.889
78.88,28.998
78.89,24.028
78.9,18.48
78.91,12.344
78.92,5.56
78.93,-1.48
78.94,-8.766
78.95,-15.88
78.96,-22.985
78.97,-29.819
78.98,-35.895
78.99,-40.921
79,-44.983
79.01,-47.54
79.02,-47.968
79.03,-47.039
79.04,-44.754
79.05,-40.841
79.06,-35.51
79.07,-29.802
79.08,-22.929
79.09,-15.317
79.1,-7.819
79.11,0.086
79.12,8.186
79.13,16.22
79.14,23.87
79.15,30.817
79.16,36.924
79.17,42.029
79.18,45.405
79.19,46.862
79.2,47.252
79.21,45.571
79.22,41.84
79.23,37.031
79.24,30.686
79.25,23.688
79.26,15.909
79.27,6.931
79.28,-1.737
79.29,-9.724
79.3,-17.507
79.31,-24.793
79.32,-31.303
79.33,-36.189
79.34,-39.253
79.35,-41.447
79.36,-42.189
79.37,-41.232
79.38,-39.24
79.39,-35.577
79.4,-30.347
79.41,-24.015
79.42,-17.217
79.43,-10.314
79.44,-2.896
79.45,3.893
79.46,9.596
79.47,14.818
79.48,18.862
79.49,21.809
79.5,23.968
79.51,24.976
79.52,25.728
79.53,25.504
79.54,24.295
79.55,21.899
79.56,18.707
79.57,14.366
79.58,9.465
79.59,4.684
79.6,0.213
79.61,-4.505
79.62,-8.882
79.63,-13.474
79.64,-17.74
79.65,-21.345
79.66,-23.897
79.67,-24.88
79.68,-24.501
79.69,-23.658
79.7,-21.505
79.71,-18.75
79.72,-14.679
79.73,-10.035
79.74,-5.484
79.75,-0.883
79.76,3.827
79.77,9.14
79.78,14.205
79.79,18.637
79.8,22.535
79.81,25.41
79.82,26.668
79.83,26.649
79.84,26.014
79.85,24.115
79.86,21.153
79.87,17.017
79.88,12.335
79.89,7.627
79.9,2.943
79.91,-1.323
79.92,-5.018
79.93,-8.721
79.94,-11.904
79.95,-14.769
79.96,-16.888
79.97,-18.267
79.98,-18.76
79.99,-17.947
80,-16.117
80.01,-13.955
80.02,-11.294
80.03,-8.85
80.04,-6.29
80.05,-3.593
80.06,-0.424
80.07,2.879
80.08,6.255
80.09,9.419
80.1,12.431
80.11,14.271
80.12,15.601
80.13,16.847
80.14,17.476
80.15,17.669
80.16,17.106
80.17,16.356
80.18,15.169
80.19,12.899
80.2,10.328
80.21,8.325
80.22,5.785
80.23,3.117
80.24,-0.053
80.25,-3.119
80.26,-5.311
80.27,-7.036
80.28,-8.108
80.29,-8.904
80.3,-9.9
80.31,-11.069
80.32,-11.475
80.33,-10.832
80.34,-9.84
80.35,-8.424
80.36,-6.95
80.37,-5.537
80.38,-4.225
80.39,-2.071
80.4,0.258
80.41,2.567
80.42,5.265
80.43,7.031
80.44,8.066
80.45,9.289
80.46,10.124
80.47,9.943
80.48,8.969
80.49,7.721
80.5,5.986
80.51,3.825
80.52,2.372
80.53,1.686
80.54,1.082
80.55,0.965
80.56,0.73
80.57,0.13
80.58,-0.269
80.59,-0.525
80.6,-0.954
80.61,-1.771
80.62,-2.316
80.63,-2.667
80.64,-2.55
80.65,-1.319
80.66,0.195
80.67,1.401
80.68,2.61
80.69,4.147
80.7,5.536
80.71,6.329
80.72,7.155
80.73,7.118
80.74,6.563
80.75,5.841
80.76,4.88
80.77,3.646
80.78,1.957
80.79,0.936
80.8,0.356
80.81,0.176
80.82,-0.076
80.83,-0.274
80.84,-0.92
80.85,-2.089
80.86,-3.129
80.87,-3.816
80.88,-4.435
80.89,-4.645
80.9,-4.904
80.91,-5.43
80.92,-5.645
80.93,-5.121
80.94,-4.074
80.95,-3.104
80.96,-2.192
80.97,-1.697
80.98,-1.343
80.99,-0.279
81,1.013
81.01,2.374
81.02,3.139
81.03,4.069
81.04,4.034
81.05,3.527
81.06,3.195
81.07,3.102
81.08,2.032
81.09,-0.493
81.1,-3.377
81.11,-6.533
81.12,-9.383
81.13,-11.038
81.14,-11.739
81.15,-12.605
81.16,-13.429
81.17,-13.881
81.18,-13.885
81.19,-12.692
81.2,-10.789
81.21,-8.596
81.22,-6.002
81.23,-3.269
81.24,-0.535
81.25,2.712
81.26,7.053
81.27,11.829
81.28,15.48
81.29,18.168
81.3,20.358
81.31,21.78
81.32,22.321
81.33,21.542
81.34,19.071
81.35,15.032
81.36,10.36
81.37,5.052
81.38,-0.448
81.39,-6.607
81.4,-12.62
81.41,-19.088
81.42,-24.335
81.43,-28.217
81.44,-31.127
81.45,-33.252
81.46,-33.736
81.47,-32.674
81.48,-31.001
81.49,-28.251
81.5,-24.309
81.51,-18.99
81.52,-12.865
81.53,-5.75
81.54,2.028
81.55,10.252
81.56,17.593
81.57,23.634
81.58,28.776
81.59,32.688
81.6,34.703
81.61,35.208
81.62,34.091
81.63,31.624
81.64,28.321
81.65,24.161
81.66,19.295
81.67,14.242
81.68,8.588
81.69,2.615
81.7,-3.429
81.71,-8.93
81.72,-13.8
81.73,-17.529
81.74,-20.516
81.75,-22.86
81.76,-24.181
81.77,-24.479
81.78,-23.678
81.79,-21.308
81.8,-18.39
81.81,-15.528
81.82,-12.392
81.83,-9.263
81.84,-6.595
81.85,-3.43
81.86,-0.616
81.87,1.644
81.88,4.001
81.89,6.109
81.9,7.642
81.91,8.644
81.92,9.6
81.93,10.791
81.94,11.708
81.95,12.642
81.96,13.537
81.97,13.71
81.98,13.827
81.99,14.327
82,14.438
82.01,14.378
82.02,13.671
82.03,13.139
82.04,12.956
82.05,12.604
82.06,11.783
82.07,11.066
82.08,9.921
82.09,8.787
82.1,6.749
82.11,3.657
82.12,-0.463
82.13,-4.69
82.14,-8.764
82.15,-12.773
82.16,-16.592
82.17,-20.351
82.18,-23.604
82.19,-25.748
82.2,-27.282
82.21,-27.579
82.22,-27.216
82.23,-25.698
82.24,-23.505
82.25,-20.211
82.26,-15.802
82.27,-10.271
82.28,-4.746
82.29,0.72
82.3,5.825
82.31,11.121
82.32,15.386
82.33,19.011
82.34,21.425
82.35,22.965
82.36,23.725
82.37,22.954
82.38,21.802
82.39,20.298
82.4,18.142
82.41,15.508
82.42,11.673
82.43,8.154
82.44,4.561
82.45,0.794
82.46,-2.446
82.47,-5.72
82.48,-8.689
82.49,-11.598
82.5,-13.807
82.51,-15.665
82.52,-16.816
82.53,-17.761
82.54,-18.257
82.55,-17.653
82.56,-16.656
82.57,-15.403
82.58,-13.875
82.59,-11.97
82.6,-10.088
82.61,-8.142
82.62,-5.378
82.63,-2.033
82.64,1.76
82.65,5.45
82.66,8.756
82.67,11.842
82.68,14.378
82.69,16.625
82.7,18.049
82.71,18.34
82.72,17.939
82.73,16.301
82.74,14.646
82.75,12.779
82.76,11.067
82.77,8.271
82.78,4.905
82.79,1.491
82.8,-2.488
82.81,-6.293
82.82,-9.664
82.83,-12.848
82.84,-15.495
82.85,-18.115
82.86,-20.828
82.87,-22.736
82.88,-23.036
82.89,-22.028
82.9,-19.841
82.91,-17.07
82.92,-14.219
82.93,-11.38
82.94,-8.605
82.95,-5.718
82.96,-2.144
82.97,1.592
82.98,5.725
82.99,9.532
83,12.819
83.01,16.454
83.02,20.458
83.03,23.819
83.04,26.231
83.05,26.801
83.06,26.627
83.07,25.212
83.08,23.083
83.09,20.222
83.1,16.759
83.11,12.367
83.12,7.547
83.13,2.72
83.14,-2
83.15,-6.99
83.16,-11.476
83.17,-15.648
83.18,-19.286
83.19,-22.295
83.2,-24.507
83.21,-26.385
83.22,-28.048
83.23,-29.3
83.24,-29.927
83.25,-28.908
83.26,-25.414
83.27,-20.133
83.28,-13.97
83.29,-7.087
83.3,0.478
83.31,7.774
83.32,14.555
83.33,20.614
83.34,25.941
83.35,30.477
83.36,33.649
83.37,35.666
83.38,36.288
83.39,35.284
83.4,33.163
83.41,30.074
83.42,26.101
83.43,21.707
83.44,16.429
83.45,10.125
83.46,3.632
83.47,-3.411
83.48,-10.57
83.49,-17.52
83.5,-24.072
83.51,-30.245
83.52,-35.315
83.53,-38.597
83.54,-40.52
83.55,-40.806
83.56,-40.09
83.57,-38.659
83.58,-36.004
83.59,-32.183
83.6,-27.156
83.61,-20.804
83.62,-14.104
83.63,-7.771
83.64,-1.423
83.65,5.148
83.66,11.903
83.67,18.797
83.68,25.451
83.69,30.657
83.7,34.36
83.71,36.915
83.72,38.361
83.73,38.73
83.74,38
83.75,36.281
83.76,32.831
83.77,28.121
83.78,22.454
83.79,16.061
83.8,9.281
83.81,2.007
83.82,-5.271
83.83,-12.665
83.84,-19.525
83.85,-25.405
83.86,-30.159
83.87,-34.226
83.88,-37.308
83.89,-39.434
83.9,-40.142
83.91,-38.877
83.92,-36.484
83.93,-32.678
83.94,-28.154
83.95,-23.193
83.96,-17.587
83.97,-11.693
83.98,-5.181
83.99,1.394
84,7.194
84.01,12.294
84.02,17.166
84.03,21.434
84.04,24.783
84.05,27.29
84.06,28.585
84.07,28.465
84.08,27.176
84.09,24.91
84.1,22.656
84.11,20.14
84.12,17
84.13,13.796
84.14,10.804
84.15,7.9
84.16,4.955
84.17,1.7
84.18,-1.038
84.19,-3.256
84.2,-4.853
84.21,-6.081
84.22,-7.245
84.23,-8.449
84.24,-9.954
84.25,-11.423
84.26,-12.461
84.27,-13.064
84.28,-13.416
84.29,-13.773
84.3,-13.411
84.31,-12.263
84.32,-11.084
84.33,-9.553
84.34,-7.536
84.35,-5.66
84.36,-3.77
84.37,-2.066
84.38,-0.51
84.39,1.463
84.4,4.384
84.41,6.674
84.42,8.415
84.43,9.844
84.44,11.358
84.45,13.194
84.46,14.798
84.47,15.893
84.48,15.839
84.49,14.641
84.5,13.595
84.51,12.685
84.52,11.898
84.53,11.258
84.54,10.429
84.55,9.358
84.56,8.602
84.57,7.704
84.58,7.565
84.59,7.046
84.6,6.428
84.61,4.802
84.62,2.905
84.63,1.316
84.64,-0.601
84.65,-2.904
84.66,-5.035
84.67,-7.145
84.68,-9.069
84.69,-10.817
84.7,-11.761
84.71,-12.058
84.72,-11.719
84.73,-11.487
84.74,-11.083
84.75,-10.836
84.76,-9.895
84.77,-8.089
84.78,-5.689
84.79,-3.42
84.8,-0.724
84.81,2.502
84.82,5.593
84.83,8.26
84.84,10.878
84.85,13.771
84.86,16.858
84.87,19.142
84.88,20.516
84.89,20.645
84.9,19.971
84.91,19.66
84.92,18.978
84.93,17.744
84.94,15.842
84.95,13.674
84.96,10.768
84.97,7.695
84.98,4.462
84.99,0.916
85,-2.372
85.01,-5.748
85.02,-8.541
85.03,-11.452
85.04,-14.415
85.05,-17.248
85.06,-19.172
85.07,-20.855
85.08,-21.728
85.09,-21.226
85.1,-20.171
85.11,-18.158
85.12,-15.357
85.13,-11.603
85.14,-7.729
85.15,-3.587
85.16,0.607
85.17,4.496
85.18,7.66
85.19,10.392
85.2,12.971
85.21,14.74
85.22,15.935
85.23,16.679
85.24,16.373
85.25,15.631
85.26,14.686
85.27,13.467
85.28,11.111
85.29,8.228
85.3,4.997
85.31,1.553
85.32,-2.13
85.33,-5.525
85.34,-9.185
85.35,-12.665
85.36,-15.109
85.37,-16.305
85.38,-16.5
85.39,-16.244
85.4,-15.732
85.41,-14.398
85.42,-12.994
85.43,-10.686
85.44,-8.196
85.45,-5.375
85.46,-2.036
85.47,1.384
85.48,4.204
85.49,6.379
85.5,7.585
85.51,8.391
85.52,8.742
85.53,9.573
85.54,9.541
85.55,9.123
85.56,8.665
85.57,7.608
85.58,5.31
85.59,2.44
85.6,-0.648
85.61,-3.699
85.62,-7.688
85.63,-11.758
85.64,-15.483
85.65,-18.041
85.66,-20.176
85.67,-21.196
85.68,-21.332
85.69,-21.488
85.7,-20.941
85.71,-19.148
85.72,-16.737
85.73,-13.757
85.74,-10.218
85.75,-6.59
85.76,-2.658
85.77,2.283
85.78,6.844
85.79,11.272
85.8,16.02
85.81,20.164
85.82,23.777
85.83,25.815
85.84,25.837
